"","GID","BRNHT1","CGMS1","DM","HI","logFYLD","logRTNO","logTOPYLD","MCMDS","GeneticGroup"
"1","95D069:250300576",1.15984104214959,0.0826859926914197,0.282079781002943,0.0214772706489033,0.0552916016435034,0.0725923032430871,-0.0298661567839012,0.0583720041171151,"TrainingPop"
"2","95NA_00063:250300579",2.67973696514681,-0.0255192793506608,0.500262376392419,0.0261698056765848,0.0767680125938877,0.0441814975653149,-0.0192473975566391,-0.0894678888809271,"TrainingPop"
"3","96_1414:250254487",-0.22538671042046,-0.0578306974865334,-0.166981554946308,-0.0173970684827441,0.0277342682517328,0.0213762254732409,0.0875714764794424,-0.0766796040427611,"TrainingPop"
"4","AGBELIFIA:250304616",2.57391840534475,-0.0528148177201579,-0.731811847375882,0.0143076799014479,0.0182977379978485,0.00412522237054607,-0.0528942828256819,-0.119173527440591,"TrainingPop"
"5","ANKRA:250304548",1.92846291043315,0.0354879611240851,0.624152166962753,-0.0225536424556112,-0.120289836835314,-0.115436021046477,-0.0818819835329914,0.165025596992612,"TrainingPop"
"6","AR124:250107818",2.94352313942653,-0.0557316577905392,0.487384188314348,0.00150885748702281,-0.0194265268580179,-0.018895506401859,-0.00440942745579272,-0.00467769699834316,"TrainingPop"
"7","AR1410:250399710",0.824202683831844,0.0183914306802143,2.31761824694264,-0.00249035817583919,-0.0497703093983837,0.00154210839120786,-0.0443308102882458,-0.0351026149401538,"TrainingPop"
"8","AR144:250107805",-2.28353509810729,0.0470326699266546,-1.30748191298392,-0.00162853866686256,0.00899362248419236,-0.0151725276667839,0.0154083649694602,0.00488468064043367,"TrainingPop"
"9","AR155:250134515",0.290208382141753,-0.0767073675307621,-0.518787791422242,-0.00982992659642739,-0.0367281097796247,-0.0154150744097063,0.00676745935326994,-0.000143120467456092,"TrainingPop"
"10","AR182:250134520",3.61133569459284,0.0134764024262275,-0.323483634760575,-0.000964544886331254,-0.0181537889362495,-0.0788619778631742,-0.0168647219634,0.145396245543478,"TrainingPop"
"11","AR311:250134529",1.69016674054828,-0.112468804635071,0.57183673991473,-0.00745753543521673,-0.0448547626116187,-0.0128442759400308,0.00289813261778037,-0.0203810662278346,"TrainingPop"
"12","AR3913:250134481",1.45822531417762,0.0218530383127067,-1.37733689147122,-0.0150826954859147,-0.0606175299648542,-0.0262849229355729,0.00586217562136863,0.0894961908260596,"TrainingPop"
"13","AR945:250107873",0.620688173580751,-0.0153660811968411,1.28768410694082,0.00150231172025191,-0.0416635225936053,0.0146710278064925,-0.0378374588498918,-0.0402390332504062,"TrainingPop"
"14","AR95:250107813",2.87744518645262,-0.0296349285466963,1.25022418508556,0.0160128650721642,-0.00222781650575701,0.00606588752891672,-0.0166385846418297,-0.108953296785158,"TrainingPop"
"15","B9100455:250304511",0.158269370749411,-0.0493073012950479,-0.340763812064416,-0.0200015190234858,0.0346032849590514,0.0187279275617604,0.104792745432056,-0.189057714800779,"TrainingPop"
"16","B9100462:250304505",-2.02732442073901,-0.0533141057291012,1.05406192037571,-0.0130750401089642,0.027096503028302,0.0304847926381183,0.0719782702263839,-0.0919573768923846,"TrainingPop"
"17","B9200061:250304482",0.15998195449366,-0.138328086192324,0.873462193949607,0.0223507077982185,0.0697757151975673,0.0293197150382305,-0.0267938652392652,-0.129318638049352,"TrainingPop"
"18","B9200068:250304480",-1.00023019889447,-0.111404851761846,-0.181997404585821,0.0155983465314089,0.0788038833073981,0.0342291840225004,0.0198449977265389,-0.108016959136451,"TrainingPop"
"19","B92033:250304499",-0.80525716051618,-0.0901565199744531,-0.104418536817687,0.0144159661836757,0.0910800340914217,0.074434781624922,0.0227600668306051,-0.077735234393809,"TrainingPop"
"20","BA95070:250300598",-0.59237154175267,0.0186990780463435,0.256635965175842,0.0315470123261704,0.037930853899954,0.0400450942752472,-0.106919367781854,0.0209724395692157,"TrainingPop"
"21","BAHKYEHEMAA:250304601",2.04383125138122,-0.0158384119983296,2.01844827412133,-0.00151993361119474,-0.0235867810389917,0.00786002967205776,-0.0408942115044897,-0.139110067460063,"TrainingPop"
"22","BANGWEULU:250304615",1.91447085496968,0.036127191168379,0.72006795290324,-0.0235405280183724,-0.127009703337977,-0.119778606375949,-0.085641573499708,0.169967705564286,"TrainingPop"
"23","BEN86052_4X_:250304661",-0.930006074917347,-0.110786225204679,0.42702383948381,0.0100175145571808,0.0606523676151421,0.0169006647040554,0.0286876456305133,-0.103223403218315,"TrainingPop"
"24","BEN86052:250304593",-0.928401539713382,-0.111337740773486,0.457432815386188,0.0102654005906324,0.0614609747410664,0.0162270726852372,0.0295916689600919,-0.100577078026508,"TrainingPop"
"25","BOUNOUA_BLANC:250304585",1.60411384890349,-0.022145692032814,0.329316112902014,-0.0302491120186792,-0.124090481851413,-0.122074046521927,-0.0446687809974524,0.132210271058408,"TrainingPop"
"26","CARICASS_II:250304592",1.89741653792903,0.068101143487622,-0.612093924043741,0.00679790843522717,0.00986825322821631,-0.0228668580031699,-0.016094400929051,0.166526961426699,"TrainingPop"
"27","CARICASS1:250399778",0.812894902335787,0.0600246324763239,0.46073258523771,-0.00778995084137965,-0.0261195569609734,-0.00609938174638557,-0.0260731341917884,0.0418168774238622,"TrainingPop"
"28","CH92108:250090858",1.19141701750564,0.0794440991357348,0.792731806357924,0.0130478548167475,0.0311930920631228,0.0302757794234465,-0.0234117644536685,0.0211623638966363,"TrainingPop"
"29","CO08002:250399753",-2.32993850046709,0.0412811004554594,-0.968812438904638,-0.00861657316846144,-0.067435742302099,-0.00870590150109474,-0.0185383245050998,0.0790216186339667,"TrainingPop"
"30","CO08016:250399755",-0.145419749439858,-0.0607977443155334,0.750578540631998,-0.0142302714101231,-0.0771077229293205,-0.0405563574690805,-0.0372689376628346,-0.00207435478379472,"TrainingPop"
"31","CO08019:250368001",-0.330128189484507,0.031138710886314,-1.34770141862812,0.000939289126292048,-0.0444498238980864,0.00381597946563623,-0.050761655708807,0.0547223552627773,"TrainingPop"
"32","CO08020:250367980",-3.42551185092203,-0.00722705115025012,-2.54134376723452,0.00348957846610626,-0.0515035425459349,-0.0138205609466368,-0.0624155300975276,0.10676763123835,"TrainingPop"
"33","CO08022:250368021",-1.21500733571135,-0.0731925990448354,-0.0327337507718084,-0.0148909626058381,-0.0590896398920814,-0.0182461839201126,0.00902875246475518,0.0613224706110531,"TrainingPop"
"34","COB1103:250107963",2.05736687835266,0.0361578190855544,0.534672662262682,0.00939745304967457,-0.00943322115084601,0.013286410854223,-0.0585767987657203,0.00771743961110971,"TrainingPop"
"35","COB1139:250107922",1.17038077841373,0.064533162497173,-0.773347819967206,-0.0203749777251271,-0.025468889435446,-0.0398421168570534,0.022574923879326,0.0957400644948056,"TrainingPop"
"36","COB1163:250107931",0.0479528288445124,0.0797858419003767,0.14760012938272,-0.00451481037884789,0.00578069185810536,0.0278059445980379,0.00564384453303316,0.0810411238508806,"TrainingPop"
"37","COB4100:250107907",-0.700790848970682,-0.00616365806796734,0.620157742675536,0.0186506654449145,0.031762288291896,0.0436314516596256,-0.0302954342103113,-0.0307090603342462,"TrainingPop"
"38","COB427:250107965",-2.71691197872984,0.0118530383194109,0.977378264278204,0.0111221780922476,0.0388823289069292,0.0312313565326092,-0.00763247813494843,-0.104877686489761,"TrainingPop"
"39","COB452:250107909",-1.55664529273023,0.0159346382552205,0.182260787772859,0.00562689685515351,0.00739600542679673,0.0162887398550027,-0.0497592048649341,-0.0386215317440439,"TrainingPop"
