"Dataset","Group","CGMS1","CGMS2","MCMDS","DM","PLTHT","BRNHT1","HI","logFYLD","logTOPYLD","logRTNO"
"IITAaugmented","nrTP",0.12084830109184,0.077005594878346,0.282865713394747,1.24084367568793,-5.1596343877831,-1.78270064518012,0.0549883340524789,0.222389458369962,-0.0161634752076099,0.220100329389281
"IITAaugmented","nrTP",-0.14292077433703,-0.0356293224103645,-0.289417723279687,2.30206527603499,0.509528251056175,4.65953186682912,0.0640184758108289,0.289500392176338,0.0373739647252933,0.225956470001332
"IITAaugmented","nrTP",-0.126978292232026,-0.0409570099960844,-0.205739927921727,-0.393362698648412,1.99942967446345,-1.69118141913297,-0.0284977807424309,0.0758639899307733,0.133301611424103,0.0508030900066078
"IITAaugmented","nrTP",-0.140254853302273,-0.0115933996954802,-0.256364170707594,-1.19625774808855,-2.19609263114594,3.61723474059233,0.056568341175347,0.0922380095636981,-0.115755081355083,0.067229004868138
"IITAaugmented","nrTP",-0.0196970486738774,0.0123410554522573,0.417908529123953,1.84304363900523,14.3317395563265,8.61323868251967,-0.0591554737167222,-0.348123169979651,-0.245789200124934,-0.273445234784408
"IITAaugmented","nrTP",-0.372382643187196,-0.0538471241791932,-0.0223983235457344,1.54519653137796,10.676340898062,16.0885585546245,-0.00885536950675706,-0.103651277602185,-0.0432702894749586,-0.1761449460209
"IITAaugmented","nrTP",0.175857370586872,-0.00665439169363937,-0.0298649961749216,1.87533716421624,4.79295000630283,9.98686465949836,-0.0207402679307858,-0.199380205226397,-0.117418517608286,-0.04362975161854
"IITAaugmented","nrTP",-0.0244951690975713,0.0691290521670054,-0.0782667966101164,-2.30477282791392,4.10465324806223,-6.28053242030454,0.00512792955295937,0.037910556204849,-0.0114795834905936,-0.0711545163493205
"IITAaugmented","nrTP",-0.187916808890903,-0.117023571465235,0.0775838319425914,-1.13547967994343,-18.8556534530388,-7.81744695329515,-0.0231607007589804,-0.110418257710316,-0.0336322062746886,-0.127685011357312
"IITAaugmented","nrTP",-0.155497314278305,-0.01784509116939,0.399524888320686,1.31254706668305,11.3159512967137,11.2336990774413,-0.0300423321517113,-0.127251294749926,-0.0178275002672541,-0.165838414242324
"IITAaugmented","nrTP",-0.422441434595511,0.0156003198363314,-0.07752916329069,1.47711867523537,-15.6188572100711,9.15131219710168,-0.0169313470205697,-0.0549714471501706,-0.00917740786771839,-0.0785042649662471
"IITAaugmented","nrTP",0.17618932503573,-0.0306545991156569,0.280162844897869,-2.74401862046543,-9.49770679151387,9.86661756233661,-0.0250799828440382,-0.10386877342703,0.00149287894754745,-0.026711068180332
"IITAaugmented","nrTP",-0.250205683820039,-0.0746774491571792,-0.0855921859825326,1.72343733467715,-5.00378307899795,-0.952911404944729,0.0271807275686824,0.00422257678355848,-0.0433291360031628,0.0691701857126067
"IITAaugmented","nrTP",-0.133904002861572,0.0713533478087301,-0.176596315024706,3.25603213870895,-5.96759155897562,2.66331292373287,0.0198667244729026,0.0837132370681933,0.0148943541692713,0.0374718255030502
"IITAaugmented","nrTP",-0.0716360689277719,-0.0404606301519636,-0.319712706942419,-0.629178974963798,1.98218451403622,-1.02210990158063,-0.0483768474672901,0.271820232313941,0.377975896871391,0.214403870456159
"IITAaugmented","nrTP",-0.0712053744268177,-0.0364921356323962,-0.119985634193286,3.08514471048837,3.10520360582113,-5.47656886621624,-0.0197177255680812,0.208550496067665,0.218760185370767,0.226866285469322
"IITAaugmented","nrTP",-0.219987967600033,-0.0690255561948168,-0.222097842719082,2.07041035451838,-6.12036692528141,-0.0416163411339134,0.0649035803389595,0.219055017847837,0.00283030293158574,0.165680236101209
"IITAaugmented","nrTP",-0.210194781512353,-0.0855363000773553,-0.199782423113575,-0.304252087173983,-2.26270052398565,-7.66170670574748,0.0430778334350963,0.29833728764468,0.102279576130756,0.150049721121125
"IITAaugmented","nrTP",-0.18209860927693,-0.0642166975712973,-0.21698256164827,0.311069235246027,-2.07918695029931,-3.69021961903768,0.0207619347330825,0.290389602055278,0.137224218771635,0.270063142695374
"IITAaugmented","nrTP",0.0314337129576126,0.036799942301845,0.0798986922528758,1.64307740264579,2.07830665476912,3.86776357978414,0.0672726638274021,-0.0636539042393726,-0.228230774651581,0.00486477587272374
"IITAaugmented","nrTP",0.0501115092010821,-0.0044980575120434,-0.288746387452634,5.67120372182708,-3.93111092305495,3.69847328926062,0.00664582233630966,0.0447743074281588,-0.0110498144470253,0.116451643033744
"IITAaugmented","nrTP",-0.0171293772872946,0.0120393835288508,0.432611444986343,1.91773238003299,14.5174313636139,8.59055061022489,-0.0591223595456664,-0.373403067250538,-0.266803866288108,-0.290614293882787
"IITAaugmented","nrTP",-0.433687994013826,-0.0667090812846421,-0.0705096376556452,1.04899508785118,-0.947945689854328,-3.06935384715026,0.018347312636154,0.0462346506693726,0.00894019585685803,-0.0630746995822352
"IITAaugmented","nrTP",-0.432489404032861,-0.0674083659069641,-0.0540909097199196,0.985715432606208,-0.908272414201075,-2.72575246070994,0.0191516586209122,0.048557791798905,0.0139042946226471,-0.0625966710891279
"IITAaugmented","nrTP",-0.032073387351041,-0.00174364517851988,0.256174185841885,-0.0935606782817125,0.757687818427686,2.99613797600963,-0.0686701593887356,-0.412122336913104,-0.219071675520947,-0.460834065592937
"IITAaugmented","nrTP",0.0845753696132888,0.00883697861275641,0.34140526287794,-1.01297308920903,4.6413436569763,2.44627343196164,0.0161596772870059,0.0712104560587488,-0.00262176836144413,0.043476106725492
"IITAaugmented","nrTP",0.0390978727612522,0.0158068216809458,0.00986257970804593,-0.876847499812769,5.72420508522381,3.56561689835312,-0.015005014738685,-0.0562235430726666,-0.0413772708629699,0.0348427495631331
"IITAaugmented","nrTP",0.115815767406755,0.188881247372356,-0.0428616334000126,2.01096417809649,-5.85636043679122,7.78887362906171,0.0406862707116108,0.241047832319647,0.0418991520101887,0.213493263054004
"IITAaugmented","nrTP",0.247475076297563,0.158567595953448,0.175099228197229,-2.81117803637048,1.41389820281242,-7.31752794236608,-0.0175187945511462,-0.127789612090192,-0.0507355084862327,-0.0209430141001788
"IITAaugmented","nrTP",-0.110525731618301,0.0254623547321984,-0.0427632090232009,0.148118733069562,-4.45190876784572,0.958734134393322,-0.041502271714421,-0.15495625374375,-0.124493950308533,-0.20039034810887
"IITAaugmented","nrTP",0.0419577061189467,0.0473443824013059,0.100568349241595,-3.58324444441381,6.34724677446665,-2.63185080540283,-0.00733402052520971,0.0386732827847744,0.0343774719870551,0.0970339094240933
"IITAaugmented","nrTP",-0.020721285445393,0.0191619770223745,0.368717073370676,-5.15090321877784,0.564087941906983,-7.1486517680328,0.00734110748762287,-0.171711442922385,-0.152261820201827,-0.0482209949858533
"IITAaugmented","nrTP",0.10970937655537,0.0779010821191617,0.103646743162952,1.31141884402484,9.53247143460222,4.97233053006409,0.0063313798127056,0.0446852090303921,-0.026752941184709,0.138109061266147
"IITAaugmented","nrTP",0.211313405982168,0.0240275324570894,0.10086427088156,-1.25905435807448,2.10194019641376,-5.86377140492714,0.000145762886044807,-0.127051718322572,-0.0537840041798933,-0.0672848729328263
"IITAaugmented","nrTP",0.278336108305599,-0.0183166074448951,0.175709682628822,-0.60375188027929,2.13603025077774,-2.29762805126662,0.00122669272110206,-0.0478973767775901,-0.0738762649439167,0.092899728707842
"IITAaugmented","nrTP",-0.00281920565256582,0.0486635337479947,-0.117609749119958,0.823654966811423,-3.78563546361517,-3.77473926600158,0.0207481702547118,0.155015593926642,0.0501736690804097,0.181937010345921
"IITAaugmented","nrTP",0.333489695256064,0.0484361555077148,-0.288511521118952,0.972528581328425,2.10416626462279,-7.83149326043309,0.0278587934271995,0.206442111025289,0.102722819418212,0.129441041409963
"IITAaugmented","nrTP",0.246851360182628,0.0212664359482608,-0.0902427956726243,0.901166870958346,-2.41888983197949,-6.77621977817972,0.00952244916059837,-0.0225659466257851,-0.0667495780349094,0.0922869863971589
"IITAaugmented","nrTP",0.418526547898776,0.0878031446394906,-0.110479523245044,2.28214980279759,-7.14791304510808,-0.475957206757943,0.0167409307930221,-0.0727818910868151,-0.0832434354778078,0.0670621623779237
